id_producto;proveedor;categoria;nombre;ref_fabricante;ref_proveedor;stock;precio_venta;imagenes;descripcion
2;2;110602;10BQ040 (IR1F)   DO2;2;2;938;0,16000;;CHIP DIODO RAPIDO 1A 40V SMB 3,9X4,5
3;2;110602;1N4004D;3;3;57;0,06010;;CHIP DIODO RECT.1A 400V SOD110 RECTAN
4;2;0;81.035/AZ/5M 12V;4;4;0;59,50000;;TIRA 300 LED FLEXI.AZUL 3528 120G 5M.
5;2;110602;BA582 (BLUE S);5;5;460;0,46000;;CHIP DIODO CONMU.35V 0,1A SOD123 1,8X3,9
6;2;110602;BA682;6;6;2260;0,01202;;CHIP DIODO CONMUTACION 35V 100mA SOD80C
7;2;110602;BAR43S DOBLE SERIE (;7;7;1722;0,19112;;CHIP DIODO RAPIDO 0,1A 30V SOT23
8;2;0;2101.3061;8;8;0;0,32000;;CONECTOR 2,54 1X6V HE.RE.8,50mm
9;2;110602;BAS19;9;9;25;0,06010;;CHIP DIODO SOT23 (TO236AB)
10;2;110602;BAS21 (JSs);10;10;5460;0,02028;;CHIP DIODO SOT23 (TO236AB)
11;2;0;0903 164 6951 CL2;11;11;0;4,32000;;CONECTOR 41612 C 62+2V a+c MA.CO.C.I
12;2;110602;BAS28;12;12;2200;0,07500;;CHIP DIODO SOT143 DOBLE
13;2;110602;BAS32L;13;13;2448;0,02400;;CHIP DIODO CONMUTACION 75V 200mA SOD80C
14;2;91021;0402 5% 18R;14;14;9800;0,00542;;CHIP RESISTENCIA PELICULA SMD
15;2;110602;BAS7004 (74P);15;15;196;0,07480;;CHIP DIODO DOBLE SERIE SOT23 (TO236AB)
16;2;110602;BAS7005;16;16;622;0,36060;;CHIP DIODO DOBLE K/C SOT23 (TO236AB)
17;2;0;820uF 6.3V 11,5X8;17;17;0;0,62000;;CONDEN.ELCO.RADIAL 105G R.3,5 SUBMINIATU
18;2;110602;BAS85;18;18;3880;0,05622;;CHIP DIODO RAPIDO 30V 200mA SOD80C
19;2;110602;BAT17;19;19;1030;0,10818;;CHIP DIODO SOT23 (TO236AB)
